stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
688,5000355,Burke Centre Pkwy+Oak Leather Dr,,38.797432,-77.316643,,
691,3000308,St Barnabas Rd+Tucker Rd,,38.797592,-76.983109,,
698,4000007,S Washington St+Franklin St,,38.797997,-77.048393,,
700,3000311,St Barnabas Rd+Tucker Rd,,38.798203,-76.982658,,
703,5000364,Burke Centre Pkwy+Oak Green Wy,,38.798477,-77.320633,,
704,5000365,Burke Centre Pkwy+Ox Rd,,38.798557,-77.323906,,
710,4000008,S Washington St+Gibbon St,,38.799152,-77.048294,,
711,4000009,Eisenhower Av+S Van Dorn St,,38.799225,-77.133812,,
716,5000370,Guinea Rd+Falmead Rd,,38.799644,-77.29174,,
724,4000010,S Washington St+Wilkes St,,38.80003,-77.047974,,
727,3000316,Brinkley Rd+Middlefield Rd,,38.800243,-76.938034,,
728,3000317,Brinkley Rd+Farmer Dr,,38.800251,-76.932205,,
729,3000318,Bock Rd+St Barnabas Rd,,38.800266,-76.980476,,
730,3000319,Brinkley Rd+Farmer Dr,,38.800274,-76.931854,,
731,3000320,Brinkley Rd+Morton Pl,,38.800339,-76.937752,,
734,3000322,Brinkley Rd+Trude St,,38.800468,-76.935486,,
735,3000323,Brinkley Rd+Trude St,,38.800476,-76.935059,,
738,3000324,Bock Rd+Bock Ter,,38.800606,-76.982018,,
739,4000011,S Washington St+Wilkes St,,38.800629,-77.047997,,
740,3000325,Bock Rd+Bock Ter,,38.800671,-76.982079,,
741,3000326,Brinkley+Temple Hill Rd,,38.800701,-76.929764,,
742,3000327,Brinkley Rd+Cherryfield Rd,,38.80061,-76.941742,,
746,5000378,Burke Lake Rd+Lake Braddock Dr,,38.800804,-77.265671,,
747,3000329,Allentown Rd+Brinkley Rd,,38.800816,-76.91008,,
749,3000331,Allentown Rd+Brinkley Rd,,38.800907,-76.910088,,
751,5000379,Burke Lake Rd+Lake Braddock Dr,,38.80101,-77.265175,,
752,5000380,Zion Dr+Hillard Lake Rd,,38.801052,-77.296074,,
757,3000333,Bock Rd+Livingston Rd,,38.801197,-76.985336,,
760,5000386,Lake Braddock Dr+Burke Rd,,38.801239,-77.2761,,
763,5000389,Lake Braddock Dr+Burke Rd,,38.801289,-77.276375,,
764,3000334,Bock Rd+Livingston Rd,,38.801384,-76.985733,,
767,5000391,Lake Braddock Dr+Cotherstone Ct,,38.80162,-77.267365,,
769,3000336,Allentown Rd+Allentown Wy,,38.801666,-76.909119,,
770,5000392,Guinea Rd+Lakepointe Dr,,38.801689,-77.284973,,
772,5000393,Lake Braddock Dr+Wesport Ln,,38.801811,-77.274742,,
773,5000394,Lake Braddock Dr+Wesport Ln,,38.801857,-77.275055,,
774,5000395,Lake Braddock Dr+Cotherstone Ct,,38.801922,-77.267784,,
780,3000338,Oxon Hill Rd+Clipper Wy,,38.802525,-76.995461,,
781,4000012,S Washington St+Duke St,,38.802574,-77.04744,,
782,4000013,S Washington St+Duke St,,38.802578,-77.047577,,
783,3000339,Oxon Hill Rd+Clipper Wy,,38.802635,-76.995483,,
785,3000340,Livingston Rd+Oxon Hill Rd,,38.802681,-76.988564,,
789,3000341,Livingston Rd+Oxon Hill Rd,,38.802849,-76.988968,,
796,3000342,Brinkley Rd+Arbor View Apt,,38.803143,-76.949394,,
